ts,id,status,power_kW,apparent_kVA,today_kWh,total_kWh,grid_freq_Hz,ac_R_V,ac_R_A,ac_Y_V,ac_Y_A,ac_B_V,ac_B_A,pv1_V,pv1_A,pv2_V,pv2_A,temperature_C
2026-07-27T17:18:09+05:30,3,Normal,2.9,2.96,87.5,74402,50.11,239.5,4.11,237.0,4.14,239.3,4.16,594.0,3.44,664.0,1.39,60
2026-07-27T17:18:09+05:30,3,Normal,2.9,2.97,87.51,74402,50.11,239.7,4.11,237.2,4.16,239.6,4.17,589.7,3.47,653.1,1.4,60
2026-07-27T17:18:36+05:30,3,Normal,2.85,2.93,87.53,74402,50.14,239.1,4.06,236.6,4.11,239.0,4.12,588.5,3.38,650.1,1.39,60
2026-07-27T17:18:46+05:30,3,Normal,2.82,2.89,87.54,74402,50.12,238.8,4.02,236.1,4.05,238.7,4.07,587.2,3.37,666.2,1.34,60
2026-07-27T17:18:51+05:30,3,Normal,2.82,2.9,87.54,74402,50.11,239.3,4.02,236.7,4.06,239.1,4.08,589.0,3.34,657.5,1.38,60
2026-07-27T17:19:00+05:30,3,Normal,2.81,2.88,87.55,74402,50.11,239.4,3.99,236.6,4.03,239.2,4.05,589.3,3.32,653.6,1.37,60
2026-07-27T17:19:05+05:30,3,Normal,2.8,2.86,87.56,74402,50.13,238.8,3.99,236.2,4.02,238.7,4.03,592.9,3.29,648.8,1.38,60
2026-07-27T17:19:15+05:30,3,Normal,2.78,2.85,87.56,74402,50.14,239.4,3.96,236.8,4.0,239.3,4.0,594.0,3.27,648.0,1.4,60
2026-07-27T17:19:20+05:30,3,Normal,2.78,2.84,87.57,74402,50.13,238.8,3.95,236.2,3.99,238.6,4.01,594.5,3.28,644.1,1.37,60
2026-07-27T17:19:30+05:30,3,Normal,2.76,2.83,87.57,74402,50.16,240.1,3.92,237.4,3.94,239.8,3.96,587.1,3.28,639.3,1.4,60
2026-07-27T17:19:35+05:30,3,Normal,2.76,2.82,87.58,74402,50.17,241.3,3.89,238.8,3.91,241.1,3.93,591.2,3.24,648.1,1.37,60
2026-07-27T17:19:45+05:30,3,Normal,2.73,2.8,87.59,74402,50.15,239.7,3.88,237.4,3.91,239.8,3.92,589.3,3.26,656.1,1.33,60
2026-07-27T17:19:50+05:30,3,Normal,2.73,2.8,87.59,74402,50.16,240.3,3.86,238.1,3.9,240.4,3.92,589.6,3.23,644.1,1.36,60
2026-07-27T17:19:59+05:30,3,Normal,2.72,2.78,87.6,74402,50.14,239.3,3.85,237.0,3.89,239.4,3.92,586.3,3.24,644.8,1.36,60
2026-07-27T17:20:04+05:30,3,Normal,2.71,2.77,87.6,74402,50.14,238.8,3.85,236.5,3.89,238.8,3.9,588.7,3.2,644.0,1.35,60
2026-07-27T17:20:14+05:30,3,Normal,2.7,2.76,87.61,74402,50.14,239.2,3.83,236.9,3.87,239.2,3.89,591.1,3.15,634.3,1.34,60
2026-07-27T17:20:19+05:30,3,Normal,2.69,2.76,87.61,74402,50.15,239.6,3.81,236.9,3.86,239.2,3.88,585.5,3.18,628.7,1.33,60
2026-07-27T17:20:29+05:30,3,Normal,2.67,2.74,87.62,74402,50.15,239.1,3.79,237.0,3.85,239.1,3.86,589.1,3.15,635.5,1.35,60
2026-07-27T17:20:34+05:30,3,Normal,2.67,2.74,87.62,74402,50.15,240.6,3.78,238.4,3.81,240.6,3.82,590.0,3.15,636.0,1.32,60
2026-07-27T17:20:43+05:30,3,Normal,2.65,2.73,87.63,74402,50.15,239.3,3.78,237.0,3.83,239.4,3.85,585.0,3.17,634.0,1.34,60
2026-07-27T17:20:48+05:30,3,Normal,2.65,2.72,87.63,74402,50.15,239.9,3.77,237.1,3.8,239.5,3.81,589.0,3.15,634.8,1.35,60
2026-07-27T17:20:58+05:30,3,Normal,2.63,2.7,87.64,74402,50.17,240.7,3.71,238.3,3.76,240.7,3.77,582.0,3.16,648.0,1.32,60
2026-07-27T17:21:03+05:30,3,Normal,2.62,2.69,87.64,74402,50.16,240.0,3.71,237.4,3.76,240.0,3.78,584.8,3.15,651.7,1.28,60
2026-07-27T17:21:13+05:30,3,Normal,2.6,2.69,87.65,74402,50.16,239.8,3.71,237.1,3.77,239.8,3.78,584.3,3.11,646.4,1.29,60
2026-07-27T17:21:18+05:30,3,Normal,2.61,2.69,87.65,74402,50.16,239.5,3.72,236.8,3.78,239.5,3.78,588.3,3.09,642.4,1.28,60
2026-07-27T17:21:28+05:30,3,Normal,2.59,2.67,87.66,74402,50.18,241.2,3.67,238.5,3.72,241.2,3.73,589.1,3.05,642.3,1.25,60
2026-07-27T17:21:33+05:30,3,Normal,2.58,2.66,87.67,74402,50.17,241.2,3.66,238.1,3.71,240.8,3.72,582.8,3.09,638.5,1.29,60
2026-07-27T17:21:42+05:30,3,Normal,2.55,2.64,87.67,74402,50.16,241.5,3.62,239.0,3.66,241.5,3.67,574.7,3.1,644.8,1.26,60
2026-07-27T17:21:48+05:30,3,Normal,2.55,2.63,87.68,74402,50.15,241.4,3.61,238.9,3.65,241.4,3.67,575.7,3.09,640.8,1.26,60
